spend_date,channel,spend_amount,impressions,clicks,attributed_signups
2024-07-01,paid_search,270.43,5469,202,4
2024-07-02,paid_search,135.63,2843,105,0
2024-07-03,paid_search,160.02,2821,123,3
2024-07-04,paid_search,120.16,2296,102,1
2024-07-05,paid_search,185.61,3142,135,3
2024-07-06,paid_search,120.36,2152,92,2
2024-07-07,paid_search,120.26,2391,102,3
2024-07-08,paid_search,132.73,2287,94,1
2024-07-09,paid_search,150.45,3042,125,2
2024-07-10,paid_search,120.7,2042,85,1
2024-07-11,paid_search,149.68,3036,116,1
2024-07-12,paid_search,136.81,2955,122,3
2024-07-13,paid_search,152.69,3030,115,3
2024-07-14,paid_search,147.81,3420,132,2
2024-07-15,paid_search,123.04,2641,99,1
2024-07-16,paid_search,137.54,3044,117,1
2024-07-17,paid_search,176.55,3208,130,2
2024-07-18,paid_search,107.95,2480,102,1
2024-07-19,paid_search,136.71,2723,113,2
2024-07-20,paid_search,87.62,2145,81,1
2024-07-21,paid_search,90.86,1563,69,0
2024-07-22,paid_search,80.02,1485,60,2
2024-07-23,paid_search,78.67,1884,70,2
2024-07-24,paid_search,73.92,1309,54,2
2024-07-25,paid_search,146.01,2817,117,6
2024-07-26,paid_search,162.89,3462,145,3
2024-07-27,paid_search,151.38,3374,136,1
2024-07-28,paid_search,185.93,4266,171,1
2024-07-29,paid_search,182.15,3582,135,5
2024-07-30,paid_search,226.23,4636,175,5
2024-07-31,paid_search,305.19,6383,239,1
2024-08-01,paid_search,173.75,3408,141,0
2024-08-02,paid_search,176.55,3801,145,4
2024-08-03,paid_search,162.42,2871,127,2
2024-08-04,paid_search,198.65,4242,187,2
2024-08-05,paid_search,174.93,3790,142,2
2024-08-06,paid_search,143.94,2872,122,2
2024-08-07,paid_search,115.13,2806,107,2
2024-08-08,paid_search,172.87,3681,143,2
2024-08-09,paid_search,190.18,4473,179,7
2024-08-10,paid_search,203.8,3874,166,4
2024-08-11,paid_search,190.07,3903,152,1
2024-08-12,paid_search,203.48,4274,161,2
2024-08-13,paid_search,227.49,5389,208,1
2024-08-14,paid_search,180.98,3525,151,2
2024-08-15,paid_search,182.81,4033,151,0
2024-08-16,paid_search,129.6,2159,91,4
2024-08-17,paid_search,132.46,2609,114,2
2024-08-18,paid_search,141.83,2940,107,4
2024-08-19,paid_search,162.9,3580,135,3
2024-08-20,paid_search,150.42,2936,122,3
2024-08-21,paid_search,180.75,3972,154,2
2024-08-22,paid_search,181.0,3151,138,3
2024-08-23,paid_search,258.14,4647,202,6
2024-08-24,paid_search,215.14,3961,175,1
2024-08-25,paid_search,155.22,3542,142,1
2024-08-26,paid_search,205.08,3960,158,4
2024-08-27,paid_search,186.58,4223,166,3
2024-08-28,paid_search,199.93,4760,182,2
2024-08-29,paid_search,182.37,3666,159,2
2024-08-30,paid_search,118.58,2830,109,2
2024-08-31,paid_search,184.33,3345,138,4
2024-09-01,paid_search,161.86,2981,117,1
2024-09-02,paid_search,181.61,4230,173,5
2024-09-03,paid_search,222.84,3927,166,6
2024-09-04,paid_search,265.61,5988,238,5
2024-09-05,paid_search,260.43,4797,202,3
2024-09-06,paid_search,271.41,4605,200,4
2024-09-07,paid_search,271.8,6850,251,4
2024-09-08,paid_search,290.09,5104,212,3
2024-09-09,paid_search,266.91,4267,189,1
2024-09-10,paid_search,251.06,4739,198,3
2024-09-11,paid_search,185.3,4333,161,1
2024-09-12,paid_search,238.7,4151,171,7
2024-09-13,paid_search,191.03,3728,139,2
2024-09-14,paid_search,166.09,3285,126,5
2024-09-15,paid_search,194.67,4618,172,1
2024-09-16,paid_search,211.93,3635,153,2
2024-09-17,paid_search,232.09,4937,210,4
2024-09-18,paid_search,213.31,4103,165,1
2024-09-19,paid_search,184.4,4300,176,1
2024-09-20,paid_search,164.09,3086,121,1
2024-09-21,paid_search,135.1,2433,101,3
2024-09-22,paid_search,157.58,2766,113,4
2024-09-23,paid_search,219.79,4673,182,6
2024-09-24,paid_search,181.46,3878,170,1
2024-09-25,paid_search,158.65,2718,120,1
2024-09-26,paid_search,183.88,3589,159,2
2024-09-27,paid_search,191.43,3786,162,4
2024-09-28,paid_search,202.31,4240,171,5
2024-09-29,paid_search,188.07,4017,171,0
2024-09-30,paid_search,170.77,3875,160,3
2024-10-01,paid_search,136.91,3341,124,1
2024-10-02,paid_search,143.07,3590,131,2
2024-10-03,paid_search,190.56,4723,173,2
2024-10-04,paid_search,173.37,3502,143,2
2024-10-05,paid_search,92.75,1977,83,0
2024-10-06,paid_search,146.76,2922,107,5
2024-10-07,paid_search,187.96,3813,147,4
2024-10-08,paid_search,159.7,2741,117,2
2024-10-09,paid_search,190.44,3656,139,1
2024-10-10,paid_search,129.87,2690,110,0
2024-10-11,paid_search,143.22,2798,121,3
2024-10-12,paid_search,184.12,4020,160,4
2024-10-13,paid_search,165.64,3305,129,4
2024-10-14,paid_search,203.47,3369,145,4
2024-10-15,paid_search,161.83,3204,126,0
2024-10-16,paid_search,158.67,3685,138,2
2024-10-17,paid_search,208.67,4678,174,4
2024-10-18,paid_search,215.87,4989,194,7
2024-10-19,paid_search,269.95,5386,239,1
2024-10-20,paid_search,195.78,4137,165,3
2024-10-21,paid_search,238.25,5392,206,7
2024-10-22,paid_search,282.91,5379,219,1
2024-10-23,paid_search,258.28,4761,186,1
2024-10-24,paid_search,205.94,3791,165,1
2024-10-25,paid_search,190.13,4440,168,2
2024-10-26,paid_search,194.98,3675,154,1
2024-10-27,paid_search,162.27,3588,153,4
2024-10-28,paid_search,141.16,2889,107,5
2024-10-29,paid_search,174.46,3625,160,2
2024-10-30,paid_search,191.73,3651,159,3
2024-10-31,paid_search,194.86,3293,145,1
2024-11-01,paid_search,260.9,6675,246,13
2024-11-02,paid_search,232.12,4746,174,3
2024-11-03,paid_search,331.54,6431,263,2
2024-11-04,paid_search,337.52,7769,311,7
2024-11-05,paid_search,348.01,7618,289,4
2024-11-06,paid_search,397.02,7109,299,8
2024-11-07,paid_search,367.15,7797,290,5
2024-11-08,paid_search,323.24,7399,289,6
2024-11-09,paid_search,401.64,7976,328,8
2024-11-10,paid_search,398.69,7587,289,4
2024-11-11,paid_search,422.71,10163,380,9
2024-11-12,paid_search,333.64,7120,265,2
2024-11-13,paid_search,406.17,7048,297,9
2024-11-14,paid_search,487.05,8373,355,7
2024-11-15,paid_search,378.73,6472,281,4
2024-11-16,paid_search,346.17,7390,281,2
2024-11-17,paid_search,352.49,6291,279,5
2024-11-18,paid_search,408.9,8204,309,7
2024-11-19,paid_search,391.49,8945,326,3
2024-11-20,paid_search,273.13,5575,216,1
2024-11-21,paid_search,359.92,6692,276,8
2024-11-22,paid_search,333.81,8547,312,3
2024-11-23,paid_search,368.0,7440,323,2
2024-11-24,paid_search,251.53,5254,197,3
2024-11-25,paid_search,211.75,4849,180,4
2024-11-26,paid_search,260.32,4959,199,4
2024-11-27,paid_search,386.11,6378,276,10
2024-11-28,paid_search,293.98,5378,230,5
2024-11-29,paid_search,336.74,8268,306,6
2024-11-30,paid_search,337.35,7164,301,5
2024-12-01,paid_search,408.11,9656,378,5
2024-12-02,paid_search,450.51,11393,418,4
2024-12-03,paid_search,417.53,10124,373,7
2024-12-04,paid_search,338.24,7183,315,4
2024-12-05,paid_search,373.34,7921,330,6
2024-12-06,paid_search,294.94,5840,257,2
2024-12-07,paid_search,355.84,6367,282,4
2024-12-08,paid_search,391.68,7003,309,9
2024-12-09,paid_search,388.92,7736,302,5
2024-12-10,paid_search,403.13,9038,382,5
2024-12-11,paid_search,367.99,6880,282,6
2024-12-12,paid_search,280.15,6902,255,2
2024-12-13,paid_search,309.03,5408,221,3
2024-12-14,paid_search,328.44,5726,249,8
2024-12-15,paid_search,324.69,5775,236,3
2024-12-16,paid_search,294.71,5774,242,3
2024-12-17,paid_search,344.32,6506,246,7
2024-12-18,paid_search,313.25,6225,229,5
2024-12-19,paid_search,372.11,6480,273,5
2024-12-20,paid_search,358.05,7985,341,3
2024-12-21,paid_search,288.42,6258,266,9
2024-12-22,paid_search,350.96,7757,300,4
2024-12-23,paid_search,347.65,7340,290,5
2024-12-24,paid_search,368.02,7397,279,2
2024-12-25,paid_search,354.57,6730,292,6
2024-12-26,paid_search,338.37,7697,318,3
2024-12-27,paid_search,334.63,7257,267,3
2024-12-28,paid_search,280.14,5524,215,4
2024-12-29,paid_search,282.59,5784,242,3
2024-12-30,paid_search,303.47,5593,248,6
2024-12-31,paid_search,271.1,5538,226,5
2025-01-01,paid_search,329.86,6623,246,3
2025-01-02,paid_search,252.64,5788,224,3
2025-01-03,paid_search,246.91,4661,179,1
2025-01-04,paid_search,219.07,4170,179,1
2025-01-05,paid_search,182.31,3079,136,1
2025-01-06,paid_search,172.42,3187,129,4
2025-01-07,paid_search,142.69,2772,108,2
2025-01-08,paid_search,209.73,4410,182,7
2025-01-09,paid_search,141.41,2803,111,1
2025-01-10,paid_search,143.82,2814,108,0
2025-01-11,paid_search,170.1,3247,127,2
2025-01-12,paid_search,168.88,4142,160,2
2025-01-13,paid_search,151.07,3602,131,1
2025-01-14,paid_search,172.85,4297,162,3
2025-01-15,paid_search,113.63,2066,86,3
2025-01-16,paid_search,114.58,2150,91,4
