order_item_id,order_id,product_id,quantity,unit_price_at_sale,line_discount
OI2000000,O1000000,P10255,1,35.67,3.57
OI2000001,O1000000,P10497,1,20.52,0.0
OI2000002,O1000000,P10331,1,26.41,0.0
OI2000003,O1000000,P10035,1,21.47,2.15
OI2000004,O1000001,P10233,1,53.05,0.0
OI2000005,O1000002,P10283,1,15.48,0.0
OI2000006,O1000003,P10275,1,18.85,0.0
OI2000007,O1000003,P10393,1,21.66,0.0
OI2000008,O1000004,P10255,1,34.77,0.0
OI2000009,O1000005,P10366,1,51.92,0.0
OI2000010,O1000005,P10486,1,133.6,0.0
OI2000011,O1000006,P10360,1,7.01,0.0
OI2000012,O1000007,P10409,1,133.28,0.0
OI2000013,O1000008,P10321,1,51.55,0.0
OI2000014,O1000009,P10022,1,64.32,0.0
OI2000015,O1000009,P10402,1,40.95,0.0
OI2000016,O1000010,P10124,1,25.74,0.0
OI2000017,O1000011,P10301,1,65.92,0.0
OI2000018,O1000012,P10329,1,89.72,0.0
OI2000019,O1000012,P10367,1,222.76,0.0
OI2000020,O1000013,P10044,1,10.41,0.0
OI2000021,O1000013,P10015,1,9.7,0.0
OI2000022,O1000013,P10262,1,13.33,0.0
OI2000023,O1000014,P10167,1,38.19,0.0
OI2000024,O1000014,P10303,3,5.39,0.0
OI2000025,O1000015,P10160,1,15.28,0.0
OI2000026,O1000015,P10409,1,124.4,0.0
OI2000027,O1000015,P10346,1,22.91,0.0
OI2000028,O1000016,P10082,1,14.37,1.44
OI2000029,O1000017,P10267,1,24.02,0.0
OI2000030,O1000017,P10297,2,60.02,0.0
OI2000031,O1000018,P10036,1,29.16,0.0
OI2000032,O1000018,P10084,1,23.92,0.0
OI2000033,O1000018,P10336,1,19.28,0.0
OI2000034,O1000018,P10132,3,40.9,0.0
OI2000035,O1000019,P10313,2,51.46,0.0
OI2000036,O1000020,P10425,1,16.34,0.0
OI2000037,O1000021,P10450,1,63.82,0.0
OI2000038,O1000021,P10098,1,11.9,1.19
OI2000039,O1000021,P10005,1,82.13,0.0
OI2000040,O1000021,P10321,1,49.93,0.0
OI2000041,O1000022,P10499,1,20.44,0.0
OI2000042,O1000023,P10449,1,59.05,0.0
OI2000043,O1000024,P10124,1,27.46,0.0
OI2000044,O1000025,P10042,1,8.52,0.0
OI2000045,O1000026,P10113,1,73.44,0.0
OI2000046,O1000027,P10082,2,15.14,0.0
OI2000047,O1000028,P10303,1,5.63,0.0
OI2000048,O1000029,P10001,1,23.5,0.0
OI2000049,O1000029,P10111,1,13.27,0.0
OI2000050,O1000030,P10035,1,21.98,2.2
OI2000051,O1000031,P10070,1,22.28,0.0
OI2000052,O1000032,P10486,1,130.37,0.0
OI2000053,O1000033,P10091,1,24.21,0.0
OI2000054,O1000034,P10151,1,97.91,9.79
OI2000055,O1000034,P10189,1,61.0,0.0
OI2000056,O1000034,P10095,1,60.25,0.0
OI2000057,O1000034,P10103,1,27.86,0.0
OI2000058,O1000035,P10425,1,15.28,0.0
OI2000059,O1000035,P10330,1,43.91,0.0
OI2000060,O1000035,P10282,1,79.76,0.0
OI2000061,O1000035,P10307,1,17.71,0.0
OI2000062,O1000036,P10167,1,38.92,0.0
OI2000063,O1000037,P10314,2,15.05,0.0
OI2000064,O1000037,P10136,1,30.4,0.0
OI2000065,O1000038,P10102,1,163.33,0.0
OI2000066,O1000039,P10128,1,91.04,0.0
OI2000067,O1000040,P10199,1,129.39,0.0
OI2000068,O1000040,P10481,1,40.84,0.0
OI2000069,O1000040,P10205,1,41.55,0.0
OI2000070,O1000040,P10132,1,40.62,4.06
OI2000071,O1000041,P10039,1,25.66,0.0
OI2000072,O1000042,P10301,1,62.46,0.0
OI2000073,O1000042,P10425,1,16.78,0.0
OI2000074,O1000042,P10292,1,35.09,0.0
OI2000075,O1000043,P10102,1,162.15,0.0
OI2000076,O1000043,P10425,1,15.56,1.56
OI2000077,O1000043,P10312,1,16.2,1.62
OI2000078,O1000043,P10098,1,11.59,0.0
OI2000079,O1000044,P10078,2,7.89,0.0
OI2000080,O1000045,P10444,1,60.27,0.0
OI2000081,O1000046,P10445,1,35.73,0.0
OI2000082,O1000047,P10449,3,61.44,0.0
OI2000083,O1000047,P10354,1,130.36,0.0
OI2000084,O1000048,P10353,1,34.78,0.0
OI2000085,O1000049,P10297,1,61.38,0.0
OI2000086,O1000050,P10017,1,29.56,0.0
OI2000087,O1000051,P10425,1,16.55,1.66
OI2000088,O1000051,P10003,1,19.67,0.0
OI2000089,O1000052,P10384,1,78.19,0.0
OI2000090,O1000053,P10156,1,124.7,0.0
OI2000091,O1000053,P10422,1,75.42,7.54
OI2000092,O1000053,P10365,1,14.89,0.0
OI2000093,O1000053,P10294,1,187.31,0.0
OI2000094,O1000054,P10129,1,24.29,0.0
OI2000095,O1000054,P10496,1,66.48,0.0
OI2000096,O1000055,P10124,1,27.46,0.0
OI2000097,O1000055,P10181,1,9.57,0.0
OI2000098,O1000056,P10462,1,48.08,0.0
OI2000099,O1000056,P10082,1,15.24,0.0
OI2000100,O1000056,P10032,1,22.92,0.0
OI2000101,O1000057,P10015,1,9.6,0.0
OI2000102,O1000058,P10460,1,59.32,0.0
OI2000103,O1000058,P10241,1,6.92,0.0
OI2000104,O1000059,P10023,1,41.51,4.15
OI2000105,O1000059,P10330,1,42.59,0.0
OI2000106,O1000060,P10133,1,101.98,0.0
OI2000107,O1000061,P10249,1,38.26,0.0
OI2000108,O1000062,P10403,1,42.66,0.0
OI2000109,O1000063,P10033,1,148.93,0.0
OI2000110,O1000064,P10269,1,17.33,1.73
OI2000111,O1000065,P10103,2,27.25,0.0
OI2000112,O1000066,P10216,1,246.74,0.0
OI2000113,O1000067,P10393,1,21.47,0.0
OI2000114,O1000068,P10410,1,86.06,0.0
OI2000115,O1000069,P10310,1,33.89,0.0
OI2000116,O1000070,P10410,2,89.04,0.0
OI2000117,O1000070,P10385,1,84.33,0.0
