order_id,customer_id,order_ts,order_status,payment_method,shipping_country,discount_amount,shipping_fee
O1000000,C100000,2026-05-09 13:21:00,completed,card,Spain,0.0,0.0
O1000001,C100001,2025-10-19 10:45:00,cancelled,paypal,Romania,0.0,4.99
O1000002,C100002,2026-04-07 22:51:00,completed,paypal,United Kingdom,0.0,4.99
O1000003,C100002,2026-04-16 16:59:00,completed,card,United Kingdom,0.0,4.99
O1000004,C100002,2026-05-07 15:08:00,completed,card,United States,0.0,4.99
O1000005,C100002,2026-05-07 23:31:00,completed,card,United Kingdom,0.0,0.0
O1000006,C100003,2025-12-26 05:07:00,completed,card,United Kingdom,0.0,4.99
O1000007,C100003,2026-05-04 19:45:00,completed,google_pay,United Kingdom,0.0,0.0
O1000008,C100004,2024-10-28 01:26:00,completed,bank_transfer,Germany,0.0,4.99
O1000009,C100005,2026-06-26 21:00:00,completed,card,Italy,0.0,0.0
O1000010,C100006,2026-02-05 22:32:00,completed,google_pay,United Kingdom,0.0,4.99
O1000011,C100006,2026-04-03 19:26:00,completed,apple_pay,United Kingdom,18.78,4.99
O1000012,C100006,2026-06-18 13:27:00,completed,card,Netherlands,0.0,0.0
O1000013,C100007,2026-06-27 12:31:00,completed,card,Italy,0.0,4.99
O1000014,C100008,2024-11-25 12:20:00,completed,card,United Kingdom,9.6,4.99
O1000015,C100009,2026-02-04 12:48:00,completed,card,Spain,0.0,0.0
O1000016,C100010,2026-02-15 22:51:00,completed,card,United States,0.0,4.99
O1000017,C100011,2026-06-22 11:58:00,completed,paypal,Germany,0.0,0.0
O1000018,C100012,2025-11-23 01:32:00,completed,card,United States,0.0,0.0
O1000019,C100013,2026-06-16 13:44:00,completed,card,United Kingdom,0.0,0.0
O1000020,C100014,2025-08-01 08:53:00,cancelled,card,Netherlands,0.0,4.99
O1000021,C100015,2025-06-16 12:17:00,completed,card,United States,0.0,0.0
O1000022,C100015,2026-02-25 21:10:00,completed,card,United States,0.0,4.99
O1000023,C100016,2025-11-01 10:09:00,completed,card,United Kingdom,0.0,4.99
O1000024,C100016,2026-01-30 13:33:00,completed,card,Spain,0.0,4.99
O1000025,C100017,2024-11-05 12:37:00,completed,card,Germany,0.0,4.99
O1000026,C100017,2024-11-06 09:36:00,completed,paypal,Germany,0.0,4.99
O1000027,C100018,2026-03-09 06:58:00,completed,paypal,Germany,0.0,4.99
O1000028,C100018,2026-03-20 08:47:00,cancelled,google_pay,Germany,0.0,4.99
O1000029,C100018,2026-03-21 12:14:00,completed,card,Germany,0.0,4.99
O1000030,C100019,2025-12-02 11:23:00,completed,card,Germany,0.0,4.99
O1000031,C100020,2026-04-30 22:02:00,completed,bank_transfer,United States,0.0,4.99
O1000032,C100020,2026-05-26 13:31:00,completed,paypal,United States,9.0,0.0
O1000033,C100021,2025-06-10 21:15:00,completed,card,Germany,0.0,4.99
O1000034,C100022,2026-06-17 20:15:00,completed,google_pay,France,0.0,0.0
O1000035,C100023,2026-04-20 19:33:00,completed,google_pay,Germany,0.0,0.0
O1000036,C100024,2026-05-10 08:04:00,completed,card,Germany,0.0,4.99
O1000037,C100025,2025-03-20 20:14:00,completed,paypal,France,0.0,4.99
O1000038,C100026,2025-08-02 14:24:00,completed,card,Germany,0.0,0.0
O1000039,C100026,2025-08-08 09:19:00,completed,card,Germany,0.0,0.0
O1000040,C100027,2025-09-23 15:39:00,completed,card,Romania,0.0,0.0
O1000041,C100028,2025-10-21 19:50:00,completed,paypal,France,0.0,4.99
O1000042,C100029,2026-02-04 21:21:00,completed,apple_pay,France,0.0,0.0
O1000043,C100029,2026-02-18 18:47:00,completed,card,France,0.0,0.0
O1000044,C100030,2026-02-07 06:33:00,completed,paypal,France,0.0,4.99
O1000045,C100031,2026-06-26 12:15:00,completed,bank_transfer,Italy,5.99,4.99
O1000046,C100032,2025-04-18 07:02:00,completed,google_pay,Netherlands,0.0,4.99
O1000047,C100033,2025-05-29 19:44:00,completed,paypal,France,0.0,0.0
O1000048,C100034,2025-12-02 06:32:00,completed,apple_pay,France,0.0,4.99
O1000049,C100035,2024-12-25 22:35:00,completed,bank_transfer,United Kingdom,16.87,4.99
O1000050,C100035,2025-05-20 10:22:00,completed,card,United Kingdom,14.45,4.99
O1000051,C100035,2025-05-22 18:15:00,completed,paypal,United Kingdom,14.84,4.99
O1000052,C100036,2026-05-15 20:24:00,completed,apple_pay,Germany,0.0,0.0
O1000053,C100037,2025-10-05 19:27:00,completed,card,Spain,0.0,0.0
O1000054,C100037,2025-11-19 20:14:00,completed,card,Spain,9.53,0.0
O1000055,C100037,2026-01-22 20:48:00,completed,card,Spain,0.0,4.99
O1000056,C100038,2025-01-22 00:49:00,completed,apple_pay,Italy,0.0,0.0
O1000057,C100039,2025-12-03 19:51:00,completed,google_pay,Germany,0.0,4.99
O1000058,C100039,2025-12-07 20:00:00,completed,google_pay,Germany,14.07,4.99
