session_id,customer_id,session_start_ts,device_type,traffic_source,landing_page,campaign_id
S5000000,C100000,2026-05-09 12:50:00,mobile,direct,/product,
S5000001,C100001,2025-10-19 10:10:00,mobile,paid_social,/category/electronics,CMP-PAID-202510
S5000002,C100002,2026-04-07 22:26:00,desktop,email,/category/electronics,CMP-EMAI-202604
S5000003,C100002,2026-04-16 16:19:00,tablet,organic,/category/home-living,
S5000004,C100002,2026-05-07 14:32:00,desktop,display,/,CMP-DISP-202605
S5000005,C100002,2026-05-07 22:53:00,mobile,direct,/,
S5000006,C100003,2025-12-26 04:26:00,desktop,email,/category/beauty,CMP-EMAI-202512
S5000007,C100003,2026-05-04 19:02:00,mobile,email,/category/home-living,CMP-EMAI-202605
S5000008,C100004,2024-10-28 00:47:00,desktop,email,/category/home-living,CMP-EMAI-202410
S5000009,C100005,2026-06-26 20:16:00,desktop,organic,/product,
S5000010,C100006,2026-02-05 21:55:00,tablet,organic,/,
S5000011,C100006,2026-04-03 19:01:00,desktop,paid_search,/category/electronics,CMP-PAID-202604
S5000012,C100006,2026-06-18 12:43:00,mobile,paid_social,/category/home-living,CMP-PAID-202606
S5000013,C100007,2026-06-27 11:59:00,mobile,paid_search,/category/home-living,CMP-PAID-202606
S5000014,C100008,2024-11-25 11:44:00,desktop,paid_search,/category/beauty,CMP-PAID-202411
S5000015,C100009,2026-02-04 12:20:00,desktop,paid_search,/product,CMP-PAID-202602
S5000016,C100010,2026-02-15 22:24:00,mobile,affiliate,/category/home-living,CMP-AFFI-202602
S5000017,C100011,2026-06-22 11:14:00,desktop,organic,/,
S5000018,C100012,2025-11-23 00:50:00,desktop,paid_search,/,CMP-PAID-202511
S5000019,C100013,2026-06-16 13:00:00,desktop,paid_search,/product,CMP-PAID-202606
S5000020,C100014,2025-08-01 08:21:00,desktop,paid_search,/product,CMP-PAID-202508
S5000021,C100015,2025-06-16 11:50:00,desktop,email,/category/electronics,CMP-EMAI-202506
S5000022,C100015,2026-02-25 20:30:00,mobile,email,/,CMP-EMAI-202602
S5000023,C100016,2025-11-01 09:28:00,mobile,email,/product,CMP-EMAI-202511
S5000024,C100016,2026-01-30 12:54:00,mobile,organic,/product,
S5000025,C100017,2024-11-05 11:53:00,desktop,paid_search,/category/home-living,CMP-PAID-202411
S5000026,C100017,2024-11-06 09:10:00,desktop,direct,/sale,
S5000027,C100018,2026-03-09 06:29:00,mobile,display,/,CMP-DISP-202603
S5000028,C100018,2026-03-20 08:10:00,mobile,display,/product,CMP-DISP-202603
S5000029,C100018,2026-03-21 11:45:00,desktop,email,/sale,CMP-EMAI-202603
S5000030,C100019,2025-12-02 10:46:00,desktop,paid_social,/category/beauty,CMP-PAID-202512
S5000031,C100020,2026-04-30 21:35:00,desktop,paid_social,/category/home-living,CMP-PAID-202604
S5000032,C100020,2026-05-26 13:00:00,mobile,direct,/category/home-living,
S5000033,C100021,2025-06-10 20:40:00,desktop,display,/sale,CMP-DISP-202506
S5000034,C100022,2026-06-17 19:48:00,mobile,paid_social,/product,CMP-PAID-202606
S5000035,C100023,2026-04-20 18:54:00,tablet,paid_social,/sale,CMP-PAID-202604
S5000036,C100024,2026-05-10 07:26:00,desktop,direct,/category/electronics,
S5000037,C100025,2025-03-20 19:48:00,desktop,paid_search,/category/home-living,CMP-PAID-202503
S5000038,C100026,2025-08-02 13:52:00,mobile,organic,/product,
S5000039,C100026,2025-08-08 08:35:00,mobile,paid_social,/,CMP-PAID-202508
S5000040,C100027,2025-09-23 15:01:00,desktop,email,/,CMP-EMAI-202509
S5000041,C100028,2025-10-21 19:13:00,mobile,organic,/category/home-living,
S5000042,C100029,2026-02-04 20:51:00,desktop,paid_search,/,CMP-PAID-202602
S5000043,C100029,2026-02-18 18:17:00,desktop,paid_search,/category/electronics,CMP-PAID-202602
S5000044,C100030,2026-02-07 05:55:00,desktop,affiliate,/sale,CMP-AFFI-202602
S5000045,C100031,2026-06-26 11:33:00,mobile,organic,/category/electronics,
S5000046,C100032,2025-04-18 06:18:00,mobile,organic,/category/electronics,
S5000047,C100033,2025-05-29 19:08:00,desktop,organic,/sale,
S5000048,C100034,2025-12-02 05:58:00,mobile,display,/product,CMP-DISP-202512
S5000049,C100035,2024-12-25 22:10:00,tablet,direct,/,
S5000050,C100035,2025-05-20 09:50:00,mobile,paid_search,/sale,CMP-PAID-202505
S5000051,C100035,2025-05-22 17:39:00,desktop,affiliate,/product,CMP-AFFI-202505
S5000052,C100036,2026-05-15 19:48:00,mobile,organic,/,
S5000053,C100037,2025-10-05 18:59:00,mobile,organic,/sale,
S5000054,C100037,2025-11-19 19:31:00,mobile,organic,/,
S5000055,C100037,2026-01-22 20:05:00,desktop,display,/product,CMP-DISP-202601
S5000056,C100038,2025-01-22 00:15:00,desktop,organic,/category/home-living,
S5000057,C100039,2025-12-03 19:14:00,desktop,email,/category/beauty,CMP-EMAI-202512
S5000058,C100039,2025-12-07 19:30:00,tablet,paid_social,/product,CMP-PAID-202512
S5000059,C100040,2025-06-22 07:03:00,desktop,email,/sale,CMP-EMAI-202506
S5000060,C100041,2026-05-13 19:12:00,mobile,affiliate,/category/beauty,CMP-AFFI-202605
S5000061,C100042,2026-03-01 20:42:00,mobile,email,/category/beauty,CMP-EMAI-202603
S5000062,C100043,2025-11-17 13:46:00,mobile,email,/product,CMP-EMAI-202511
S5000063,C100044,2026-05-12 14:40:00,mobile,paid_search,/,CMP-PAID-202605
S5000064,C100044,2026-06-02 15:45:00,desktop,email,/product,CMP-EMAI-202606
S5000065,C100045,2026-03-10 12:59:00,desktop,affiliate,/product,CMP-AFFI-202603
S5000066,C100046,2025-06-03 23:16:00,mobile,paid_social,/,CMP-PAID-202506
S5000067,C100046,2025-07-31 20:48:00,mobile,direct,/category/beauty,
S5000068,C100047,2025-03-25 22:05:00,tablet,paid_social,/,CMP-PAID-202503
S5000069,C100048,2026-03-19 06:32:00,mobile,direct,/,
S5000070,C100049,2024-11-18 15:02:00,mobile,direct,/,
S5000071,C100050,2025-03-09 22:09:00,tablet,organic,/category/electronics,
S5000072,C100051,2025-01-03 08:57:00,desktop,paid_search,/category/home-living,CMP-PAID-202501
S5000073,C100051,2025-11-29 20:04:00,mobile,organic,/sale,
S5000074,C100052,2026-06-10 17:11:00,tablet,organic,/sale,
S5000075,C100053,2025-12-21 19:01:00,mobile,direct,/,
S5000076,C100054,2025-12-23 19:26:00,desktop,paid_social,/sale,CMP-PAID-202512
S5000077,C100054,2026-05-14 01:06:00,mobile,paid_search,/,CMP-PAID-202605
S5000078,C100055,2026-02-02 18:38:00,tablet,organic,/category/electronics,
S5000079,C100055,2026-02-28 11:55:00,tablet,paid_search,/product,CMP-PAID-202602
S5000080,C100055,2026-03-03 09:18:00,desktop,direct,/category/electronics,
S5000081,C100055,2026-06-29 08:06:00,mobile,email,/product,CMP-EMAI-202606
S5000082,C100056,2025-08-03 14:42:00,mobile,direct,/,
S5000083,C100057,2025-10-25 18:31:00,mobile,organic,/,
S5000084,C100057,2025-10-30 18:04:00,tablet,organic,/,
S5000085,C100057,2025-11-30 22:46:00,mobile,paid_search,/product,CMP-PAID-202511
S5000086,C100057,2025-12-19 17:59:00,mobile,organic,/category/beauty,
S5000087,C100057,2026-04-27 11:34:00,tablet,organic,/,
S5000088,C100057,2026-05-25 19:48:00,tablet,email,/product,CMP-EMAI-202605
S5000089,C100058,2025-05-01 19:12:00,mobile,display,/product,CMP-DISP-202505
S5000090,C100059,2025-03-17 18:22:00,mobile,direct,/category/home-living,
S5000091,C100059,2025-11-14 07:04:00,tablet,organic,/category/electronics,
S5000092,C100060,2026-01-17 11:52:00,desktop,paid_social,/sale,CMP-PAID-202601
S5000093,C100061,2025-12-10 13:49:00,desktop,paid_search,/category/electronics,CMP-PAID-202512
S5000094,C100062,2025-11-05 23:20:00,mobile,email,/,CMP-EMAI-202511
S5000095,C100063,2026-03-20 08:15:00,tablet,paid_search,/,CMP-PAID-202603
S5000096,C100063,2026-03-23 05:42:00,desktop,paid_search,/category/home-living,CMP-PAID-202603
S5000097,C100063,2026-04-12 10:05:00,mobile,paid_search,/,CMP-PAID-202604
S5000098,C100063,2026-04-20 07:00:00,desktop,direct,/product,
S5000099,C100063,2026-04-27 11:39:00,desktop,email,/category/home-living,CMP-EMAI-202604
S5000100,C100063,2026-05-04 18:28:00,mobile,direct,/category/beauty,
S5000101,C100063,2026-05-25 02:18:00,mobile,organic,/category/home-living,
S5000102,C100063,2026-06-01 16:33:00,mobile,email,/category/home-living,CMP-EMAI-202606
S5000103,C100064,2025-11-29 19:18:00,mobile,email,/category/home-living,CMP-EMAI-202511
S5000104,C100065,2025-11-22 22:42:00,desktop,paid_social,/,CMP-PAID-202511
S5000105,C100066,2025-10-09 05:39:00,desktop,paid_search,/category/home-living,CMP-PAID-202510
S5000106,C100066,2025-10-12 16:44:00,mobile,paid_social,/category/electronics,CMP-PAID-202510
S5000107,C100066,2025-10-20 12:48:00,mobile,organic,/category/electronics,
S5000108,C100066,2025-11-05 04:16:00,mobile,direct,/category/home-living,
S5000109,C100066,2026-03-16 19:49:00,desktop,paid_social,/category/electronics,CMP-PAID-202603
S5000110,C100067,2025-04-09 19:14:00,desktop,paid_social,/sale,CMP-PAID-202504
S5000111,C100067,2025-06-14 12:00:00,desktop,affiliate,/,CMP-AFFI-202506
S5000112,C100067,2025-07-18 18:14:00,mobile,display,/,CMP-DISP-202507
S5000113,C100067,2025-09-09 18:24:00,desktop,email,/category/home-living,CMP-EMAI-202509
S5000114,C100067,2025-10-15 22:24:00,desktop,direct,/,
S5000115,C100067,2025-11-28 00:07:00,mobile,organic,/product,
S5000116,C100068,2024-11-15 01:02:00,desktop,email,/product,CMP-EMAI-202411
S5000117,C100069,2025-07-04 10:30:00,desktop,paid_search,/category/home-living,CMP-PAID-202507
S5000118,C100070,2025-09-19 21:10:00,desktop,paid_search,/,CMP-PAID-202509
S5000119,C100071,2025-06-23 19:44:00,mobile,email,/,CMP-EMAI-202506
S5000120,C100072,2026-04-14 13:14:00,mobile,paid_social,/sale,CMP-PAID-202604
S5000121,C100073,2025-06-17 18:30:00,desktop,paid_search,/,CMP-PAID-202506
S5000122,C100073,2026-05-04 12:06:00,desktop,email,/category/electronics,CMP-EMAI-202605
S5000123,C100074,2024-09-28 18:35:00,desktop,email,/category/home-living,CMP-EMAI-202409
S5000124,C100074,2024-10-31 19:39:00,mobile,email,/sale,CMP-EMAI-202410
S5000125,C100075,2026-04-19 03:31:00,mobile,direct,/,
S5000126,C100076,2025-05-01 22:04:00,mobile,email,/sale,CMP-EMAI-202505
S5000127,C100077,2026-04-08 17:25:00,desktop,email,/category/home-living,CMP-EMAI-202604
S5000128,C100078,2025-12-19 07:34:00,mobile,direct,/sale,
S5000129,C100079,2026-02-14 22:43:00,desktop,paid_social,/,CMP-PAID-202602
S5000130,C100079,2026-03-24 13:29:00,tablet,organic,/,
S5000131,C100080,2026-02-06 23:10:00,tablet,organic,/category/electronics,
S5000132,C100080,2026-04-20 19:38:00,tablet,paid_search,/sale,CMP-PAID-202604
S5000133,C100081,2025-10-07 15:31:00,tablet,email,/sale,CMP-EMAI-202510
S5000134,C100082,2026-02-26 16:01:00,mobile,paid_social,/category/electronics,CMP-PAID-202602
S5000135,C100083,2024-12-08 06:54:00,desktop,paid_search,/category/beauty,CMP-PAID-202412
S5000136,C100083,2024-12-21 19:53:00,mobile,email,/,CMP-EMAI-202412
S5000137,C100083,2024-12-23 22:45:00,mobile,paid_social,/category/home-living,CMP-PAID-202412
S5000138,C100083,2024-12-26 15:31:00,desktop,display,/category/electronics,CMP-DISP-202412
S5000139,C100084,2024-09-03 12:34:00,desktop,paid_search,/sale,CMP-PAID-202409
S5000140,C100085,2024-11-23 22:06:00,mobile,paid_search,/,CMP-PAID-202411
S5000141,C100086,2026-04-07 16:15:00,desktop,paid_social,/,CMP-PAID-202604
S5000142,C100087,2025-09-11 20:23:00,desktop,affiliate,/category/electronics,CMP-AFFI-202509
S5000143,C100088,2024-12-20 11:38:00,desktop,paid_social,/category/beauty,CMP-PAID-202412
S5000144,C100088,2025-06-25 19:40:00,mobile,organic,/,
S5000145,C100088,2025-12-19 20:18:00,tablet,direct,/,
S5000146,C100089,2025-11-05 19:51:00,desktop,email,/sale,CMP-EMAI-202511
S5000147,C100090,2024-11-28 12:43:00,mobile,direct,/category/electronics,
S5000148,C100091,2026-02-08 06:10:00,mobile,paid_social,/category/electronics,CMP-PAID-202602
S5000149,C100092,2026-05-30 03:48:00,mobile,paid_social,/sale,CMP-PAID-202605
S5000150,C100093,2025-08-01 15:13:00,desktop,email,/,CMP-EMAI-202508
S5000151,C100094,2025-08-04 21:49:00,mobile,display,/,CMP-DISP-202508
S5000152,C100095,2025-12-17 11:51:00,mobile,organic,/,
S5000153,C100096,2025-05-09 19:29:00,desktop,direct,/sale,
S5000154,C100097,2025-04-11 18:18:00,desktop,paid_search,/product,CMP-PAID-202504
S5000155,C100098,2024-11-29 19:53:00,mobile,paid_search,/sale,CMP-PAID-202411
S5000156,C100099,2026-06-05 08:42:00,mobile,email,/category/beauty,CMP-EMAI-202606
S5000157,C100100,2026-06-16 21:12:00,desktop,organic,/category/home-living,
S5000158,C100101,2026-02-13 08:42:00,tablet,organic,/sale,
S5000159,C100101,2026-06-25 13:09:00,desktop,email,/,CMP-EMAI-202606
S5000160,C100102,2025-02-22 20:18:00,desktop,email,/category/beauty,CMP-EMAI-202502
S5000161,C100103,2026-06-15 22:07:00,mobile,paid_search,/product,CMP-PAID-202606
S5000162,C100104,2026-03-25 19:55:00,desktop,email,/,CMP-EMAI-202603
S5000163,C100105,2025-12-26 09:59:00,mobile,email,/sale,CMP-EMAI-202512
S5000164,C100106,2025-10-11 15:56:00,desktop,display,/,CMP-DISP-202510
S5000165,C100107,2025-09-01 15:34:00,mobile,affiliate,/sale,CMP-AFFI-202509
S5000166,C100108,2024-10-15 08:30:00,mobile,email,/product,CMP-EMAI-202410
S5000167,C100108,2024-11-27 23:53:00,mobile,email,/product,CMP-EMAI-202411
S5000168,C100108,2024-12-30 17:58:00,desktop,paid_search,/,CMP-PAID-202412
S5000169,C100109,2026-05-27 13:31:00,desktop,email,/category/home-living,CMP-EMAI-202605
S5000170,C100110,2025-09-18 21:09:00,mobile,paid_search,/category/home-living,CMP-PAID-202509
S5000171,C100111,2024-12-15 09:37:00,mobile,paid_search,/,CMP-PAID-202412
S5000172,C100112,2026-03-18 13:00:00,desktop,paid_social,/product,CMP-PAID-202603
S5000173,C100113,2026-02-09 23:24:00,desktop,paid_search,/category/home-living,CMP-PAID-202602
S5000174,C100114,2024-12-16 19:10:00,mobile,organic,/product,
S5000175,C100115,2026-05-27 03:48:00,desktop,email,/sale,CMP-EMAI-202605
S5000176,C100116,2026-02-06 17:28:00,desktop,affiliate,/sale,CMP-AFFI-202602
S5000177,C100117,2025-12-26 17:27:00,tablet,direct,/category/beauty,
S5000178,C100118,2025-06-27 16:35:00,tablet,display,/category/electronics,CMP-DISP-202506
S5000179,C100118,2025-07-10 18:45:00,mobile,direct,/category/beauty,
S5000180,C100119,2026-01-12 12:52:00,mobile,email,/,CMP-EMAI-202601
S5000181,C100120,2025-10-26 17:09:00,mobile,email,/category/home-living,CMP-EMAI-202510
S5000182,C100120,2025-12-04 19:09:00,mobile,affiliate,/sale,CMP-AFFI-202512
S5000183,C100120,2025-12-16 09:59:00,mobile,paid_social,/product,CMP-PAID-202512
S5000184,C100120,2025-12-25 00:10:00,tablet,affiliate,/product,CMP-AFFI-202512
S5000185,C100120,2026-02-20 11:42:00,desktop,organic,/,
S5000186,C100121,2025-11-27 19:02:00,desktop,organic,/category/beauty,
S5000187,C100121,2025-11-29 12:58:00,mobile,email,/,CMP-EMAI-202511
S5000188,C100121,2025-12-05 18:02:00,mobile,paid_search,/category/beauty,CMP-PAID-202512
S5000189,C100121,2026-01-08 18:06:00,desktop,organic,/category/electronics,
S5000190,C100121,2026-01-15 18:35:00,desktop,paid_search,/product,CMP-PAID-202601
S5000191,C100122,2025-12-01 20:34:00,desktop,email,/category/beauty,CMP-EMAI-202512
S5000192,C100123,2025-06-04 15:23:00,desktop,organic,/category/home-living,
S5000193,C100124,2024-12-28 10:39:00,desktop,organic,/,
S5000194,C100124,2025-06-25 01:43:00,mobile,organic,/category/home-living,
S5000195,C100125,2025-10-01 01:26:00,mobile,paid_search,/product,CMP-PAID-202510
S5000196,C100126,2025-04-02 09:20:00,mobile,paid_social,/sale,CMP-PAID-202504
S5000197,C100126,2025-04-10 13:25:00,desktop,email,/,CMP-EMAI-202504
S5000198,C100126,2025-04-20 12:37:00,desktop,email,/,CMP-EMAI-202504
S5000199,C100126,2025-04-26 06:02:00,desktop,email,/category/electronics,CMP-EMAI-202504
