review_id,customer_id,order_id,review_ts,star_rating,nps_score,review_channel
R300000,C100679,O1001120,2025-09-13 13:07:00,5,10,email_survey
R300001,C111336,O1018335,2025-04-05 22:49:00,5,9,email_survey
R300002,C101924,O1003101,2026-04-19 21:13:00,3,6,email_survey
R300003,C107716,O1012453,2025-11-08 13:25:00,4,9,email_survey
R300004,C106736,O1010851,2025-07-12 12:33:00,5,10,email_survey
R300005,C107360,O1011886,2025-09-08 13:54:00,5,10,app
R300006,C110317,O1016661,2025-12-12 07:01:00,5,10,onsite
R300007,C101544,O1002507,2025-12-30 00:06:00,4,8,email_survey
R300008,C111951,O1019320,2026-04-18 04:39:00,3,6,email_survey
R300009,C109333,O1015022,2026-03-07 20:59:00,4,8,app
R300010,C106074,O1009767,2026-04-26 17:01:00,4,9,email_survey
R300011,C110114,O1016328,2025-01-03 07:36:00,5,10,email_survey
R300012,C106002,O1009649,2025-11-10 01:07:00,4,8,onsite
R300013,C111745,O1018956,2026-05-15 17:07:00,2,4,onsite
R300014,C105839,O1009384,2025-10-31 13:01:00,3,8,email_survey
R300015,C102455,O1003966,2025-10-08 23:21:00,5,9,email_survey
R300016,C109931,O1016005,2025-12-16 13:03:00,5,10,email_survey
R300017,C102319,O1003742,2026-07-09 20:34:00,4,9,onsite
R300018,C107059,O1011375,2025-07-19 21:30:00,3,6,email_survey
R300019,C110873,O1017572,2025-02-20 22:10:00,4,9,email_survey
R300020,C109812,O1015823,2026-01-21 19:50:00,5,10,email_survey
R300021,C105149,O1008294,2025-03-04 22:43:00,4,9,email_survey
R300022,C108085,O1013023,2026-03-27 07:15:00,5,9,onsite
R300023,C107621,O1012316,2026-03-26 23:59:00,4,9,email_survey
R300024,C106893,O1011121,2025-12-12 17:29:00,4,8,app
R300025,C109501,O1015312,2026-05-07 22:14:00,3,6,email_survey
R300026,C106653,O1010711,2025-10-04 13:09:00,3,6,onsite
R300027,C110744,O1017369,2026-05-11 22:36:00,5,9,app
R300028,C104293,O1006975,2026-05-19 20:32:00,5,9,email_survey
R300029,C101633,O1002655,2026-05-29 10:27:00,5,9,onsite
R300030,C111455,O1018529,2024-12-22 14:06:00,4,9,email_survey
R300031,C109994,O1016102,2025-09-20 11:31:00,5,9,email_survey
R300032,C100479,O1000794,2026-01-09 20:42:00,4,8,app
R300033,C107734,O1012482,2026-06-02 22:02:00,3,6,email_survey
R300034,C107863,O1012691,2025-11-16 15:41:00,5,10,onsite
R300035,C102853,O1004617,2025-10-24 22:28:00,5,10,email_survey
R300036,C108452,O1013629,2024-12-20 14:18:00,5,10,email_survey
R300037,C104516,O1007328,2025-10-06 19:20:00,5,9,app
R300038,C107844,O1012651,2025-01-02 13:54:00,2,3,email_survey
R300039,C102363,O1003821,2026-06-08 19:20:00,5,10,email_survey
R300040,C108786,O1014149,2025-12-24 18:54:00,3,6,email_survey
R300041,C109136,O1014740,2025-11-27 20:53:00,5,9,app
R300042,C104505,O1007306,2026-02-22 12:39:00,4,8,email_survey
R300043,C110120,O1016347,2026-06-16 03:03:00,5,9,onsite
R300044,C100067,O1000110,2025-04-24 19:42:00,5,9,onsite
R300045,C108336,O1013440,2026-04-19 13:31:00,5,9,onsite
R300046,C110093,O1016285,2026-03-28 10:19:00,5,9,onsite
R300047,C108608,O1013878,2025-10-04 21:36:00,3,7,email_survey
R300048,C103872,O1006258,2026-05-30 08:39:00,3,7,onsite
R300049,C102583,O1004179,2025-03-06 18:13:00,5,9,app
R300050,C106827,O1011015,2026-06-24 20:37:00,1,3,onsite
R300051,C105156,O1008309,2025-12-11 10:48:00,4,8,email_survey
R300052,C109867,O1015912,2026-05-26 07:27:00,5,10,onsite
R300053,C109954,O1016048,2026-01-10 18:18:00,3,7,email_survey
R300054,C107644,O1012345,2026-04-24 09:50:00,5,9,email_survey
R300055,C103859,O1006228,2025-10-01 22:56:00,4,8,email_survey
R300056,C105003,O1008071,2024-12-04 20:29:00,5,9,app
R300057,C103431,O1005553,2025-10-15 15:23:00,4,9,email_survey
R300058,C107764,O1012529,2026-02-28 19:07:00,1,2,email_survey
R300059,C100482,O1000798,2025-12-19 19:41:00,4,8,email_survey
R300060,C102490,O1004020,2026-06-20 21:09:00,4,9,email_survey
R300061,C101974,O1003186,2025-01-22 20:04:00,2,6,email_survey
R300062,C102686,O1004349,2025-03-04 22:32:00,2,5,email_survey
R300063,C107042,O1011345,2025-05-05 03:08:00,4,9,onsite
R300064,C108229,O1013267,2026-02-26 14:36:00,5,10,email_survey
R300065,C106323,O1010171,2024-11-10 22:11:00,5,9,onsite
R300066,C105174,O1008344,2025-08-03 16:44:00,4,8,email_survey
R300067,C106942,O1011206,2025-11-11 08:43:00,4,9,email_survey
R300068,C108033,O1012945,2025-11-25 21:53:00,4,9,email_survey
R300069,C104417,O1007173,2024-12-19 18:15:00,5,10,email_survey
R300070,C103382,O1005467,2026-05-21 21:51:00,5,10,onsite
R300071,C106077,O1009771,2025-11-25 12:10:00,4,8,email_survey
R300072,C109475,O1015267,2026-07-02 20:06:00,4,8,app
R300073,C111446,O1018515,2026-06-03 20:44:00,5,10,email_survey
R300074,C106682,O1010760,2025-12-04 21:35:00,5,10,onsite
R300075,C101144,O1001855,2025-08-12 20:53:00,5,9,onsite
R300076,C105385,O1008698,2026-06-11 10:08:00,5,10,onsite
R300077,C107927,O1012786,2025-07-17 17:46:00,4,8,email_survey
R300078,C102038,O1003278,2026-01-15 14:22:00,3,7,email_survey
R300079,C104901,O1007913,2025-06-20 00:35:00,4,9,email_survey
R300080,C105906,O1009494,2026-05-03 16:00:00,3,6,email_survey
R300081,C106270,O1010086,2025-08-19 19:23:00,5,10,onsite
R300082,C104461,O1007247,2026-06-20 23:27:00,3,8,onsite
R300083,C105231,O1008439,2026-05-27 16:01:00,2,6,onsite
R300084,C106426,O1010341,2024-11-19 22:43:00,3,8,app
R300085,C107289,O1011758,2024-12-17 07:53:00,5,9,onsite
R300086,C102096,O1003371,2025-01-05 22:56:00,2,3,onsite
R300087,C101445,O1002346,2026-01-06 22:50:00,5,10,app
R300088,C101749,O1002838,2025-08-26 12:22:00,4,9,email_survey
R300089,C104306,O1007000,2026-04-22 18:02:00,4,8,onsite
R300090,C102750,O1004434,2025-01-05 21:03:00,4,9,onsite
R300091,C111372,O1018386,2024-12-16 09:15:00,5,10,email_survey
R300092,C104558,O1007400,2025-12-22 23:31:00,4,8,email_survey
R300093,C108982,O1014484,2026-01-12 06:49:00,3,7,email_survey
R300094,C108431,O1013597,2024-10-06 17:34:00,3,7,app
R300095,C102586,O1004190,2025-04-10 18:19:00,4,9,onsite
R300096,C108366,O1013496,2024-11-29 22:28:00,1,4,onsite
R300097,C101735,O1002808,2026-03-18 13:19:00,5,9,onsite
R300098,C100415,O1000692,2025-02-27 19:10:00,5,10,onsite
R300099,C101722,O1002788,2026-03-06 19:14:00,4,8,email_survey
R300100,C101636,O1002659,2025-10-19 00:38:00,5,9,email_survey
R300101,C100877,O1001455,2025-09-09 13:42:00,5,9,email_survey
R300102,C110115,O1016337,2025-12-04 22:23:00,5,9,onsite
R300103,C102380,O1003848,2026-06-29 22:00:00,4,9,email_survey
R300104,C105059,O1008158,2024-11-27 13:03:00,5,9,onsite
R300105,C111646,O1018818,2026-01-03 07:50:00,4,9,email_survey
R300106,C105261,O1008483,2026-04-17 07:54:00,4,9,email_survey
R300107,C100066,O1000107,2025-10-24 13:31:00,5,10,onsite
R300108,C109494,O1015302,2026-01-31 23:06:00,5,9,onsite
R300109,C110516,O1017003,2024-12-02 22:13:00,5,9,email_survey
R300110,C108637,O1013917,2026-01-29 16:17:00,3,6,email_survey
R300111,C104237,O1006872,2026-05-02 13:23:00,5,10,email_survey
R300112,C100080,O1000132,2026-05-03 20:17:00,4,9,email_survey
R300113,C106108,O1009821,2025-11-19 10:07:00,5,9,onsite
R300114,C103131,O1005046,2026-06-29 18:23:00,4,8,email_survey
R300115,C111562,O1018680,2026-01-29 20:17:00,3,6,email_survey
R300116,C106012,O1009661,2024-07-29 07:24:00,4,9,onsite
R300117,C101806,O1002918,2024-11-19 19:58:00,5,10,onsite
R300118,C110900,O1017628,2024-12-18 14:53:00,5,9,email_survey
R300119,C109087,O1014658,2026-05-02 22:56:00,1,0,onsite
R300120,C109034,O1014573,2025-07-31 13:30:00,5,10,onsite
R300121,C111709,O1018900,2026-01-16 13:39:00,5,10,email_survey
R300122,C107725,O1012469,2025-11-27 13:28:00,5,9,email_survey
R300123,C108097,O1013046,2025-09-29 11:57:00,4,9,email_survey
R300124,C107430,O1011995,2026-05-12 20:26:00,5,9,onsite
R300125,C103259,O1005257,2024-12-09 20:07:00,4,8,onsite
R300126,C111651,O1018824,2025-12-01 21:11:00,4,8,app
R300127,C106144,O1009883,2026-05-01 22:33:00,4,8,email_survey
