event_id,session_id,event_type,event_ts,product_id,order_id
E10000000,S5000000,page_view,2026-05-09 12:50:00,,
E10000001,S5000000,product_view,2026-05-09 12:53:00,,
E10000002,S5000000,add_to_cart,2026-05-09 12:57:00,,
E10000003,S5000000,begin_checkout,2026-05-09 13:03:00,,
E10000004,S5000000,purchase,2026-05-09 13:09:00,,O1000000
E10000005,S5000001,page_view,2025-10-19 10:11:00,,
E10000006,S5000001,product_view,2025-10-19 10:12:00,,
E10000007,S5000001,add_to_cart,2025-10-19 10:16:00,,
E10000008,S5000001,begin_checkout,2025-10-19 10:23:00,,
E10000009,S5000001,purchase,2025-10-19 10:30:00,,O1000001
E10000010,S5000002,page_view,2026-04-07 22:26:00,,
E10000011,S5000002,product_view,2026-04-07 22:31:00,,
E10000012,S5000002,add_to_cart,2026-04-07 22:32:00,,
E10000013,S5000002,begin_checkout,2026-04-07 22:40:00,,
E10000014,S5000002,purchase,2026-04-07 22:46:00,,O1000002
E10000015,S5000003,page_view,2026-04-16 16:19:00,,
E10000016,S5000003,product_view,2026-04-16 16:24:00,,
E10000017,S5000003,add_to_cart,2026-04-16 16:25:00,,
E10000018,S5000003,begin_checkout,2026-04-16 16:33:00,,
E10000019,S5000003,purchase,2026-04-16 16:39:00,,O1000003
E10000020,S5000004,page_view,2026-05-07 14:33:00,,
E10000021,S5000004,product_view,2026-05-07 14:34:00,,
E10000022,S5000004,add_to_cart,2026-05-07 14:41:00,,
E10000023,S5000004,begin_checkout,2026-05-07 14:44:00,,
E10000024,S5000004,purchase,2026-05-07 14:50:00,,O1000004
E10000025,S5000005,page_view,2026-05-07 22:54:00,,
E10000026,S5000005,product_view,2026-05-07 22:55:00,,
E10000027,S5000005,add_to_cart,2026-05-07 23:01:00,,
E10000028,S5000005,begin_checkout,2026-05-07 23:08:00,,
E10000029,S5000005,purchase,2026-05-07 23:14:00,,O1000005
E10000030,S5000006,page_view,2025-12-26 04:29:00,,
E10000031,S5000006,product_view,2025-12-26 04:30:00,,
E10000032,S5000006,add_to_cart,2025-12-26 04:32:00,,
E10000033,S5000006,begin_checkout,2025-12-26 04:41:00,,
E10000034,S5000006,purchase,2025-12-26 04:46:00,,O1000006
E10000035,S5000007,page_view,2026-05-04 19:04:00,,
E10000036,S5000007,product_view,2026-05-04 19:06:00,,
E10000037,S5000007,add_to_cart,2026-05-04 19:08:00,,
E10000038,S5000007,begin_checkout,2026-05-04 19:16:00,,
E10000039,S5000007,purchase,2026-05-04 19:21:00,,O1000007
E10000040,S5000008,page_view,2024-10-28 00:49:00,,
E10000041,S5000008,product_view,2024-10-28 00:52:00,,
E10000042,S5000008,add_to_cart,2024-10-28 00:56:00,,
E10000043,S5000008,begin_checkout,2024-10-28 01:02:00,,
